model_key,foreign_market,foreign_median_year,foreign_rows,russia_rows_matched,foreign_median_price_rub,imported_median_price_rub,russia_median_price_rub,price_gap_rub,decision
Audi Q7,Asia,2016,2,10,862091,5322981,9355010,-4032029,Import is cheaper
Audi Q5,Asia,2016,15,10,763258,5047778,7799500,-2751722,Import is cheaper
Audi Q5,Europe,2022,420,10,3321443,5976022,8349500,-2373478,Import is cheaper
BMW X7,Europe,2024,389,10,7714028,14731460,15222500,-491040,Import is cheaper
Kia Picanto,Korea,2016,112,7,314158,898780,1229900,-331120,Import is cheaper
Volkswagen Tiguan,Asia,2016,20,10,438743,1174554,1448000,-273446,Import is cheaper
Audi Q7,Europe,2020,420,10,4203020,9438402,9355010,83392,Russia is cheaper
Kia Soul,Korea,2011,9,7,270243,1094137,960000,134137,Russia is cheaper
Kia Picanto,Europe,2021,420,7,977980,1415816,1229900,185916,Russia is cheaper
Hyundai Tucson,Korea,2021,96,10,1194786,3352036,2765000,587036,Russia is cheaper
Hyundai Tucson,Europe,2022,403,10,2284505,4234486,3360108,874378,Russia is cheaper
Volkswagen Tiguan,Europe,2022,420,10,2429424,3527415,2595000,932415,Russia is cheaper
Kia Soul,Europe,2018,420,7,1165655,2004081,960000,1044081,Russia is cheaper
Hyundai Tucson,Asia,2016,2,10,561899,3238306,1894500,1343806,Russia is cheaper
BMW X5,Europe,2022,420,10,4844851,9979150,8395000,1584150,Russia is cheaper
Kia Carnival,Europe,2007,93,4,342046,5243918,3374950,1868968,Russia is cheaper
Kia Carnival,Korea,2022,532,4,1491533,5908072,3374950,2533122,Russia is cheaper
Skoda Kodiaq,Europe,2022,420,3,2961395,4933004,2199000,2734004,Russia is cheaper
Toyota Camry,Asia,2014,10,10,546119,5459714,2650000,2809714,Russia is cheaper
Toyota Alphard,Asia,2013,161,10,481308,5421047,2610000,2811047,Russia is cheaper
BMW X5,Asia,2014,6,10,530532,6198812,3300000,2898812,Russia is cheaper
Porsche Cayenne,Asia,2015,5,7,654265,7065839,4150000,2915839,Russia is cheaper
Kia Sorento,Asia,2016,2,7,381014,5418970,2269000,3149970,Russia is cheaper
Toyota Alphard,Europe,2014,3,10,1885211,6477811,2972500,3505311,Russia is cheaper
Kia Sorento,Europe,2022,420,7,2708461,5959954,2269000,3690954,Russia is cheaper
Kia Sorento,Korea,2022,307,7,1522715,6331475,2269000,4062475,Russia is cheaper
Toyota Camry,Europe,2020,135,10,2295306,7113080,2775000,4338080,Russia is cheaper
Porsche Panamera,Asia,2016,1,10,869557,8031093,3250000,4781093,Russia is cheaper
Porsche Panamera,Europe,2018,420,10,5841779,12400565,7444500,4956065,Russia is cheaper
Porsche Cayenne,Europe,2020,420,7,5755772,11659214,4150000,7509214,Russia is cheaper
